Gender,Event,Location,Year,Medal,Name,Nationality,Result,seconds,Population,GDP per Capita
M,1500M Men,London,2012,B,Abdalaati IGUIDER,MAR,03:35.1,215.13,46050302,1376.712829
W,Shot Put Women,London,2012,G,Valerie ADAMS,NZL,20.7,0,4595700,37807.96728
M,Shot Put Men,London,2012,G,Tomasz MAJEWSKI,POL,21.89,0,37999494,12554.54755
W,Hammer Throw Women,London,2012,S,Anita WLODARCZYK,POL,77.6,0,37999494,12554.54755
M,400M Hurdles Men,London,2012,B,Javier CULSON,PUR,,0,3474182,
M,High Jump Men,London,2012,B,Mutaz Essa BARSHIM,QAT,2.29,0,2235355,73653.39443
W,800M Women,London,2012,S,Caster SEMENYA,RSA,01:57.2,0,54956920,5723.973357
M,High Jump Men,London,2012,G,Ivan UKHOV,RUS,2.38,0,144096812,9092.580536
W,20Km Race Walk Women,London,2012,G,Elena LASHMANOVA,RUS,1:25:02,0,144096812,9092.580536
W,400M Hurdles Women,London,2012,G,Natalya ANTYUKH,RUS,52.7,0,144096812,9092.580536
W,800M Women,London,2012,G,Mariya SAVINOVA,RUS,01:56.2,0,144096812,9092.580536
W,800M Women,London,2012,B,Ekaterina POISTOGOVA,RUS,01:57.5,0,144096812,9092.580536
W,Heptathlon Women,London,2012,B,Tatyana CHERNOVA,RUS,6628,0,144096812,9092.580536
W,High Jump Women,London,2012,G,Anna CHICHEROVA,RUS,2.05,0,144096812,9092.580536
W,High Jump Women,London,2012,B,Svetlana SHKOLINA,RUS,2.03,0,144096812,9092.580536
W,Long Jump Women,London,2012,S,Elena SOKOLOVA,RUS,7.07,0,144096812,9092.580536
W,Marathon Women,London,2012,B,Tatyana PETROVA ARKHIPOVA,RUS,2:23:29,0,144096812,9092.580536
W,Pole Vault Women,London,2012,B,Yelena ISINBAEVA,RUS,4.7,0,144096812,9092.580536
M,Hammer Throw Men,London,2012,S,Primoz KOZMUS,SLO,79.36,0,2063768,20726.53989
W,3000M Steeplechase Women,London,2012,G,Habiba GHRIBI,TUN,09:08.4,0,11107800,3872.512084
W,1500M Women,London,2012,S,Gamze BULUT,TUR,04:10.4,0,78665830,9125.68759
M,Marathon Men,London,2012,G,Stephen KIPROTICH,UGA,2:08:01,0,39032383,705.2925695
W,4X100M Relay Women,London,2012,B,null,UKR,42.04,0,45198200,2114.954716
W,4X400M Relay Women,London,2012,B,null,UKR,03:23.6,0,45198200,2114.954716
W,Triple Jump Women,London,2012,B,Olga SALADUKHA,UKR,14.79,0,45198200,2114.954716
M,10000M Men,London,2012,S,Galen RUPP,USA,27:30.9,1650.9,321418820,56115.71843
M,100M Men,London,2012,B,Justin GATLIN,USA,9.79,9.79,321418820,56115.71843
M,110M Hurdles Men,London,2012,G,Aries MERRITT,USA,12.92,12.92,321418820,56115.71843
M,110M Hurdles Men,London,2012,S,Jason RICHARDSON,USA,13.04,13.04,321418820,56115.71843
M,1500M Men,London,2012,S,Leonel MANZANO,USA,03:34.8,214.79,321418820,56115.71843
M,400M Hurdles Men,London,2012,S,Michael TINSLEY,USA,,0,321418820,56115.71843
M,4X400M Relay Men,London,2012,S,null,USA,02:57.1,177.05,321418820,56115.71843
M,Decathlon Men,London,2012,G,Ashton EATON,USA,8869,0,321418820,56115.71843
M,Decathlon Men,London,2012,S,Trey HARDEE,USA,8671,0,321418820,56115.71843
M,High Jump Men,London,2012,S,Erik KYNARD,USA,2.33,0,321418820,56115.71843
M,Long Jump Men,London,2012,B,Will CLAYE,USA,8.12,0,321418820,56115.71843
M,Shot Put Men,London,2012,B,Reese HOFFA,USA,21.23,0,321418820,56115.71843
M,Triple Jump Men,London,2012,G,Christian TAYLOR,USA,17.81,0,321418820,56115.71843
M,Triple Jump Men,London,2012,S,Will CLAYE,USA,17.62,0,321418820,56115.71843
W,100M Hurdles Women,London,2012,S,Dawn HARPER,USA,12.37,0,321418820,56115.71843
W,100M Hurdles Women,London,2012,B,Kellie WELLS,USA,12.48,0,321418820,56115.71843
